"idb","names","descriptions","images","prices","siteofficiel","categories","linkproducts","desponiblitys","logoofficiel"
"68"," HUAWEI Y5 2019 - Bleu"," Ecran5.71 LCD IPS(720 x 1520 Pixels)Processeur:Quadcore 2.0 GHz CortexA53Systéme d'exploitation:Android9.0Pie(EMUI 9)Mémoire RAM:2 GoStockage:32 GoDoubleSIMAppareil Photo Arriére:13 MP....","https://static.mytek.tn/img/p/7/2/5/1/1/72511-product_category.jpg","375.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24489-smartphone-huawei-y5-2019-bleu.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"69"," EVERTEK Hero 4G - Bleu"," Écran6.09U Notch HD+Processeur:SC9863A OctaCore. 4A55 @1.6GHz + 4A55 @1.2GHzSystéme d'exploitation:Android 9.1MémoireRAM:3 Go Stockage:32 GoAppareil Photo Arriére:13.0 MégaPixels+ 2.0...","https://static.mytek.tn/img/p/8/3/2/1/5/83215-product_category.jpg","389.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/29705-smartphone-evertek-hero-4g-bleu.html"," eror","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"70"," HONOR 8A - Rouge (HONOR-8A-RED)"," Ecran:6.09LCDRésolution:720 x 1560 pixels Systéme d'exploitation:Android 9.0Processeur:MTK MT6765OctaCore(4x2.3 GHz + 4x1.8 GHz)MémoireRAM:2 Go Stockage:32 GoAppareil Photo Arriére:13 MP. flash...","https://static.mytek.tn/img/p/7/6/9/1/1/76911-product_category.jpg","399.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/26678-smartphone-honor-8a-rouge-honor-8a-red.html"," COMMANDE 48H ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"71"," HONOR 8A - Noir (HONOR-8A-BLACK)"," Ecran:6.09LCDRésolution:720 x 1560 pixels Systéme d'exploitation:Android 9.0Processeur:MTK MT6765OctaCore(4x2.3 GHz + 4x1.8 GHz)MémoireRAM:2 Go Stockage:32 GoAppareil Photo Arriére:13 MP. flash...","https://static.mytek.tn/img/p/7/6/9/0/4/76904-product_category.jpg","399.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/26673-smartphone-honor-8a-bleu-honor-8a-black.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"72"," NOKIA 3.2 2019 Steel"," Ecran6.26 HD+(1520x 720)Processeur:Qualcomm Snapdragon 429Octacore2 GHz Systéme d'exploitation: Android 9.0MémoireRAM:2 Go Stockage:16 GoExtensible Jusqu'à128 GoAppareil Photo Arriére:13.0...","https://static.mytek.tn/img/p/7/7/1/4/4/77144-product_category.jpg","399.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/26780-smartphone-nokia-32-2019-steel.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"73"," LEAGOO M11 - Gris Bleu"," Ecran: 6.2 IPS Résolution d'écran: 480 x996 pixels Systéme d'exploitation:Android8.1Processeur:MT6739 Quad Core1.28GHz Mémoire RAM: 2 GoStockage: 16Go Appareil Photo:Dual Caméra8.0 MP + 2.0 MP Appareil Photo...","https://static.mytek.tn/img/p/7/2/4/9/5/72495-product_category.jpg","399.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/22369-smartphone-leagoo-m11-gris-bleu.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"74"," LEAGOO M11 - Gold"," Ecran: 6.2 IPS Résolution d'écran: 480 x996 pixels Systéme d'exploitation:Android8.1Processeur:MT6739 Quad Core1.28GHz Mémoire RAM: 2 GoStockage: 16Go Appareil Photo:Dual Caméra8.0 MP + 2.0 MP Appareil Photo...","https://static.mytek.tn/img/p/7/2/5/0/4/72504-product_category.jpg","399.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/22366-smartphone-leagoo-m11-gold.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"75"," TECNO Spark 3 Pro - Noir"," Ecran6.2” HD +Super FULLVIEW(1500 x 720)Processeur:Quadcore2.0 GHzSystéme d'exploitation:Android™ 9 PieMémoireRAM:2 Go Stockage:32 GoAppareil Photo Arriére:13.0...","https://static.mytek.tn/img/p/7/3/1/8/6/73186-product_category.jpg","419.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24628-smartphone-tecno-spark-3-pro-noir.html"," EPUISE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"76"," HUAWEI Y6 Prime 2019 - Brown"," Ecran6.09 HD(1560 x 720 Pixels)Processeur:Quadcore 2.0 GHz CortexA53Systéme d'exploitation:Android9.0Pie (EMUI 9)Mémoire RAM:2 GoStockage:32 GoDoubleSIMAppareil Photo Arriére:13...","https://static.mytek.tn/img/p/7/1/6/3/0/71630-product_category.jpg","419.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24080-smartphone-huawei-y6-prime-2019-brown.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"77"," HUAWEI Y6 Prime 2019 - Bleu"," Ecran6.09 Dewdrop HD+(1560 x 720 Pixels)Processeur:MTK MT6761Quadcore 2.0 GHzSystéme d'exploitation:Android9.0Pie (EMUI 9)Mémoire RAM:2 GoStockage:32 GoDoubleSIMAppareil Photo Arriére:13...","https://static.mytek.tn/img/p/7/1/6/2/4/71624-product_category.jpg","419.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24078-smartphone-huawei-y6-prime-2019-bleu.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"78"," HUAWEI Y6 Prime 2019 - Noir"," Ecran6.09 HD(1560 x 720 Pixels)Processeur:Quadcore 2.0 GHz CortexA53Systéme d'exploitation:Android9.0Pie (EMUI 9)Mémoire RAM:2 GoStockage:32 GoDoubleSIMAppareil Photo Arriére:13...","https://static.mytek.tn/img/p/7/1/6/2/1/71621-product_category.jpg","419.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/24076-smartphone-huawei-y6-prime-2019-noir.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"79"," HONOR 8A Pro - Bleu (HONOR-8APRO-BLUE)"," Ecran:6.09LCDRésolution:720 x 1560 pixels Systéme d'exploitation:Android 9.0Processeur:MTK MT6765OctaCore(4x2.3 GHz + 4x1.8 GHz)MémoireRAM:3 Go Stockage:64 GoAppareil Photo Arriére:13 MP. flash...","https://static.mytek.tn/img/p/8/0/9/1/1/80911-product_category.jpg","449.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/28433-smartphone-honor-8a-pro-bleu-honor-8apro-blue.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
"80"," DOOGEE Y7 - Noir"," Ecran5.84 FHD+Processeur:OctaCore 1.6 GHzSystéme d'exploitation:Android 8.1 OreoMémoire RAM:3GoStockage:32Go extensible jusqu'à256Go via carte Micro SDDoubleSIMAppareil Photo Arriére:16 MP + 13...","https://static.mytek.tn/img/p/7/8/5/7/3/78573-product_category.jpg","449.000 ","Mytek","smartphone","https://www.mytek.tn/smartphone-tunisie/27320-smartphone-doogee-y7-noir.html"," DISPONIBLE ","https://static.mytek.tn/img/mytek-informatique-logo-1482243620.jpg"
